Player,Stage 1: FPS,Stage 2
Bryce McGowens,3.025,25.806451612903224
Rodney McGruder,2.375,19.35483870967742
Jordan McLaughlin,12.549999999999999,25.806451612903224
De'Anthony Melton,21.275,41.935483870967744
Chimezie Metu,7.574999999999999,29.03225806451613
Patty Mills,9.074999999999998,45.16129032258064
Shake Milton,5.475,9.67741935483871
Davion Mitchell,13.799999999999999,16.129032258064516
Donovan Mitchell,53.175000000000004,70.96774193548387
Evan Mobley,30.299999999999997,29.03225806451613
Isaiah Mobley,4.75,38.70967741935484
Chima Moneke,4.0,22.58064516129032
Malik Monk,19.625,32.25806451612903
Moses Moody,12.05,25.806451612903224
Wendell Moore Jr.,-0.5,16.129032258064516
Ja Morant,50.275,70.96774193548387
Marcus Morris,25.450000000000003,35.483870967741936
Markieff Morris,7.1499999999999995,22.58064516129032
Monte Morris,25.700000000000003,32.25806451612903
Trey Murphy III,27.799999999999997,45.16129032258064
Dejounte Murray,43.925000000000004,54.83870967741935
Jamal Murray,23.85,29.03225806451613
Keegan Murray,27.6,38.70967741935484
Mike Muscala,16.15,48.38709677419355
Svi Mykhailiuk,6.0,45.16129032258064
Larry Nance Jr.,19.249999999999996,19.35483870967742
Andrew Nembhard,13.575000000000001,35.483870967741936
Aaron Nesmith,17.425,25.806451612903224
Raul Neto,7.199999999999999,25.806451612903224
Georges Niang,11.199999999999998,35.483870967741936
Daishen Nix,8.2,29.03225806451613
Zeke Nnaji,1.9,12.903225806451612
Nerlens Noel,14.0,32.25806451612903
Jaylen Nowell,23.174999999999997,35.483870967741936
Kendrick Nunn,9.9,19.35483870967742
Jusuf Nurkić,35.45,29.03225806451613
Jordan Nwora,10.125,25.806451612903224
Royce O'Neale,24.674999999999997,32.25806451612903
Chuma Okeke,11.499999999999998,25.806451612903224
Josh Okogie,3.3249999999999997,38.70967741935484
Onyeka Okongwu,19.55,29.03225806451613
Isaac Okoro,4.275,16.129032258064516
KZ Okpala,2.3000000000000003,12.903225806451612
Kelly Olynyk,27.3,35.483870967741936
Eugene Omoruyi,8.525,25.806451612903224
Cedi Osman,18.674999999999997,38.70967741935484
Kelly Oubre Jr.,28.875,35.483870967741936
Chris Paul,34.675000000000004,38.70967741935484
Cameron Payne,18.5,41.935483870967744
Theo Pinson,6.0,25.806451612903224
Scotty Pippen Jr.,2.0,22.58064516129032
Mason Plumlee,24.425,25.806451612903224
Jakob Poeltl,36.050000000000004,29.03225806451613
Aleksej Pokusevski,16.25,12.903225806451612
Jordan Poole,31.3,48.38709677419355
Kevin Porter Jr.,39.4,45.16129032258064
Michael Porter Jr.,32.925000000000004,51.61290322580645
Bobby Portis,30.674999999999997,38.70967741935484
Kristaps Porziņģis,36.8,48.38709677419355
Micah Potter,4.625,19.35483870967742
Dwight Powell,10.05,35.483870967741936
Norman Powell,17.475,22.58064516129032
Jason Preston,0.0,29.03225806451613
Joshua Primo,18.475,25.806451612903224
Taurean Prince,15.1,22.58064516129032
Payton Pritchard,4.625,35.483870967741936
Immanuel Quickley,21.674999999999994,19.35483870967742
Julius Randle,37.574999999999996,35.483870967741936
Austin Reaves,14.600000000000001,38.70967741935484
Cam Reddish,14.525,25.806451612903224
Davon Reed,2.75,16.129032258064516
Paul Reed,2.2499999999999996,9.67741935483871
