Player,Stage 1: FPS,Stage 2
Blake Griffin,16.025,22.58064516129032
Quentin Grimes,12.3,22.58064516129032
Kyle Guy,7.375,19.35483870967742
Rui Hachimura,19.349999999999998,25.806451612903224
Tyrese Haliburton,36.95,48.38709677419355
Tyler Hall,0.0,0.0
R.J. Hampton,16.7,9.67741935483871
Tim Hardaway Jr.,24.925,35.483870967741936
James Harden,49.825,54.83870967741935
Maurice Harkless,10.549999999999999,16.129032258064516
Jared Harper,14.4,67.74193548387096
Montrezl Harrell,25.275000000000002,38.70967741935484
Gary Harris,18.95,35.483870967741936
Joe Harris,19.9,35.483870967741936
Tobias Harris,33.25000000000001,35.483870967741936
Shaquille Harrison,8.25,3.225806451612903
Josh Hart,32.300000000000004,32.25806451612903
Isaiah Hartenstein,21.124999999999996,38.70967741935484
Udonis Haslem,5.575,22.58064516129032
Sam Hauser,4.975,29.03225806451613
Jaxson Hayes,18.175,29.03225806451613
Killian Hayes,20.1,22.58064516129032
Gordon Hayward,29.899999999999995,35.483870967741936
Aaron Henry,0.9999999999999999,9.67741935483871
Juancho Hernangómez,8.675,22.58064516129032
Willy Hernangómez,20.700000000000003,38.70967741935484
Tyler Herro,34.60000000000001,48.38709677419355
Buddy Hield,28.350000000000005,41.935483870967744
Haywood Highsmith,5.250000000000001,16.129032258064516
George Hill,14.924999999999999,25.806451612903224
Malcolm Hill,8.100000000000001,32.25806451612903
Solomon Hill,5.25,12.903225806451612
Nate Hinton,-0.25,9.67741935483871
Jaylen Hoard,36.599999999999994,32.25806451612903
Aaron Holiday,13.625,32.25806451612903
Jrue Holiday,37.775,45.16129032258064
Justin Holiday,19.05,32.25806451612903
Richaun Holmes,22.799999999999997,32.25806451612903
Rodney Hood,7.0249999999999995,25.806451612903224
Scotty Hopson,5.75,6.451612903225806
Al Horford,29.124999999999996,29.03225806451613
Talen Horton-Tucker,20.75,25.806451612903224
Danuel House Jr.,12.55,29.03225806451613
Dwight Howard,16.525000000000002,29.03225806451613
Markus Howard,5.85,54.83870967741935
Kevin Huerter,23.1,29.03225806451613
Jay Huff,2.75,12.903225806451612
Elijah Hughes,7.7,19.35483870967742
Feron Hunt,2.125,6.451612903225806
De'Andre Hunter,21.724999999999998,35.483870967741936
Chandler Hutchison,1.7999999999999998,22.58064516129032
Bones Hyland,19.824999999999996,41.935483870967744
Serge Ibaka,15.45,19.35483870967742
Andre Iguodala,16.55,25.806451612903224
Joe Ingles,17.625,25.806451612903224
Brandon Ingram,39.849999999999994,45.16129032258064
Kyrie Irving,46.05,67.74193548387096
Wes Iwundu,13.625,29.03225806451613
Frank Jackson,15.950000000000001,32.25806451612903
Isaiah Jackson,17.575,35.483870967741936
Jaren Jackson Jr.,31.549999999999997,48.38709677419355
Josh Jackson,13.200000000000003,19.35483870967742
Justin Jackson,3.95,29.03225806451613
Reggie Jackson,30.25,41.935483870967744
LeBron James,54.35,54.83870967741935
DeJon Jarreau,0.0,0.0
DaQuan Jeffries,2.025,19.35483870967742
Ty Jerome,14.099999999999998,32.25806451612903
Isaiah Joe,6.8,25.806451612903224
Alize Johnson,5.925000000000001,16.129032258064516
B.J. Johnson,12.35,22.58064516129032
Cameron Johnson,22.974999999999998,38.70967741935484
David Johnson,0.0,16.129032258064516
Jalen Johnson,4.3,12.903225806451612
James Johnson,14.825,9.67741935483871
Joe Johnson,2.0,29.03225806451613
Keldon Johnson,30.224999999999998,38.70967741935484
Keon Johnson,15.149999999999999,22.58064516129032
Stanley Johnson,15.65,22.58064516129032
Tyler Johnson,9.35,19.35483870967742
Nikola Jokić,59.75,67.74193548387096
Carlik Jones,3.15,32.25806451612903
Damian Jones,17.55,22.58064516129032
Derrick Jones Jr.,12.724999999999998,22.58064516129032
Herbert Jones,22.1,25.806451612903224
Jemerrio Jones,4.875,22.58064516129032
Kai Jones,1.975,22.58064516129032
Mason Jones,12.425,32.25806451612903
Tre Jones,14.95,29.03225806451613
Tyus Jones,20.35,35.483870967741936
DeAndre Jordan,13.375,22.58064516129032
Cory Joseph,18.425,32.25806451612903
Georgios Kalaitzakis,11.6,29.03225806451613
Frank Kaminsky,21.850000000000005,38.70967741935484
Luke Kennard,21.474999999999998,38.70967741935484
Braxton Key,17.875,25.806451612903224
George King,1.7750000000000001,16.129032258064516
Louis King,8.35,25.806451612903224
Corey Kispert,15.274999999999999,29.03225806451613
Maxi Kleber,19.475,22.58064516129032
